"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",
"2000","815.0981730134273","1578.322033898305","2228.763178049349","2748.665876496385","2998.491525423729","3370.813559322034","3710.667501989536","3919.898305084746","4253.271186440678","4442.07039121205","4267.929063532445","3787.5853581926062","3408.186544379799","2753.2487608625956","2418.138653319738","3243.8609124308186",
"4000","410.7991096491046","802.2615350750946","1095.25","1343.2881355932204","1504.915254237288","1625.4166666666667","1804.406779661017","2042.3898305084747","2162.2833333333333","2222.4745762711864","2136.5131274678415","1875.2753660815486","1575.365939395031","1434.639462277754","1480.8749160869152","1263.758521711061",
"6000","276.1358225724142","528.5961349452672","740.4232121949568","910.9467143026466","1029.0482954915108","1177.1734119674873","1225.6949152542372","1347.5833333333333","1482.9833891538956","1519.3302290929407","1436.1354174844282","1088.496934995751","920.6819858524887","1002.8914611705096","923.198893031484","943.5465149602619",
"8000","204.06630517337965","397.7482357019323","553.4180095421342","681.1769755668063","770.489273438426","825.8369697219795","942.7007060735874","1018.1182038300682","1067.9302223200527","1127.95","1086.8895295278196","905.4343542469528","953.3767678007342","726.3072295410809","654.2210860756544","893.2450391845415",
"10000","161.80070157522943","316.86724021389955","436.368196673586","532.315057485564","604.298836756464","674.312145481637","725.8634247108824","820.0788176594971","857.2423558150986","892.3880899163413","855.4396310521169","815.3790039736356","640.162613965639","511.67967997485044","587.4633366922191","706.9277264679714",
"12000","134.94111055784555","265.4686874269028","366.4616225423235","452.55892285933896","507.0343023211686","565.0194889855907","618.5560459528317","697.2710509829155","737.6646912409623","751.4407518862691","732.579155670498","544.7291854945183","506.6225401716503","531.5334022772988","439.3725102816237","415.74338746051427",
"14000","115.19518469719836","224.6082558017574","315.27457048824726","385.79832421038145","451.32759482128927","492.6279835729749","545.217039633461","571.9156585341423","612.5282893296696","623.1243200981381","618.5545069194134","568.3627279074108","506.1468229444217","351.73839596367293","390.766783657158","453.83695633757395",
"16000","101.03997539627488","195.5817119107203","277.5738251869975","341.355330967997","379.90781077698966","412.702249399561","458.47883657964076","512.7035405728016","528.331773318187","552.5973567012845","536.7953873204032","485.04826228038945","419.17559728624065","399.03135110680387","382.8462761063525","374.06595352412705",
"18000","89.487592560578","176.5411198131886","247.28139803473076","297.833781409044","345.4654056411327","379.53680375602823","413.24980124919233","448.9530439860157","488.1102476925366","487.0936755226479","488.54159374563756","332.0746485776325","300.79286500922973","313.77999214284154","331.43298454507004","309.3454043413419",
"20000","79.7284338784492","158.35434910252806","222.92419423104033","270.6943992742063","308.3734964058442","332.00871590329683","386.8007441255787","413.93686092725557","429.22058007171387","440.4300321078353","430.9335556209719","363.1264946230468","378.9484073440216","315.22267072717074","288.61875912016615","322.6858757236622",
